input_file,base_file,temp,shifts,time_step
job091.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,100,1578249.044
job092.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,150,1052166.029
job093.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,200,789124.522
job094.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,250,631299.618
job095.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,300,526083.015
job096.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,350,450928.298
job097.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,400,394562.261
job098.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,450,350722.010
job099.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,500,315649.809
job100.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,100,1578249.044
job101.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,150,1052166.029
job102.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,200,789124.522
job103.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,250,631299.618
job104.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,300,526083.015
job105.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,350,450928.298
job106.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,400,394562.261
job107.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,450,350722.010
job108.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,500,315649.809
job109.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,100,1578249.044
job110.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,150,1052166.029
job111.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,200,789124.522
job112.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,250,631299.618
job113.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,300,526083.015
job114.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,350,450928.298
job115.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,400,394562.261
job116.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,450,350722.010
job117.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,500,315649.809
job118.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,100,1578249.044
job119.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,150,1052166.029
job120.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,200,789124.522
job121.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,250,631299.618
job122.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,300,526083.015
job123.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,350,450928.298
job124.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,400,394562.261
job125.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,450,350722.010
job126.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,500,315649.809
